FMID,street,city,County,State,zip,x,y
1004193,"130 Hospital Road, Parking Lot adjacent to Route 4",Prince Frederick,Calvert,Maryland,20678,-76.597676,38.558772
1004194,Near 14550 Solomons Island Rd.,Solomons,Calvert,Maryland,20688,-76.461245,38.324634
1004196,Orinda Way in Orinda Village,Orinda,Contra Costa,California,94563,-122.189,37.8836
1004198,3701 College Ave,Clarkston,DeKalb,Georgia,30021,-84.239409,33.805672
1004199,132 E Main St,Dwight,Livingston,Illinois,60420,-88.426938,41.092872
1004200,"135 Marion Rd.,",Mattapoisett,Plymouth,Massachusetts,2739,-70.779658,41.672438
1004201,Fairmount Avenue and Railroad Plaza South,Chatham,Morris,New Jersey,7928,-74.38443,40.73968
1004202,4616 Wallbridge Road,Clayton,Stevens,Washington,99110,-117.545394,47.98998
1004204,Intersection Booker T. Washington Hwy. & Enterprise Lane,Moneta,Bedford,Virginia,24184,-79.7624,37.0888
1004206,315 John R RIce Blvd.,Murfreesboro,Rutherford,Tennessee,37129,-86.448237,35.854215
1004209,Forest County Courthouse,Tionesta,Forest,Pennsylvania,16353,-79.4564,41.4962
1004210,380 W. Market Street,York,York,Pennsylvania,17401,-76.7363,39.9593
1004212,Corner of Lanier and McClanahan Streets,Oxford,Granville,North Carolina,27565,-78.5866163,36.3148277
1004214,Southwest Gainesville at Butler Plaza,Gainesville,Alachua,Florida,32608,-82.3794,29.6223
1004217,5221 Church Road,Ann Arbor,Washtenaw,Michigan,48105,-83.65634,42.312497
1004218,575 New Waverly Pl,Cary,Wake,North Carolina,27518,-78.777301,35.738503
1004223,304 N. Main St.,Franklin,Simpson,Kentucky,42134,-86.577411,36.724212
1004226,Empire State Plaza,Albany,Albany,New York,12242,-73.758667,42.651353
1004227,1004 Madison Avenue,Montgomery,Montgomery,Alabama,36104,-86.2952,32.3803
1004232,Corner of Chestnut Street and Locust Street,Jeffersonville,Clark,Indiana,47130,-85.737895,38.272747
1004233,1401 Camden Avenue,Salisbury,Wicomico,Maryland,21801,-75.610099,38.340529
1004234,3011 N.W. Evangeline Thwy,Lafayette,Lafayette,Louisiana,70507,-92.0230179,30.284513
1004237,427 Main at Highway 27 and Broadway,Comfort,Kendall,Texas,78013,-98.91297,29.96761
1004238,178 Jones Avenue,New Brunswick,Middlesex,New Jersey,8901,-74.444572,40.480173
1004241, Elizabeth Lane & Black Street,Rock Hill,York,South Carolina,29745,-81.027,34.9276
1004244,Broad Street,Ellijay,Gilmer,Georgia,30540,-84.48294,34.695193
1004245,village green            green st.,kinderhook,Columbia,New York,12106,-73.69983,42.396032
1004247,"Central Park, east side of Broad Street",Grinnell,Poweshiek,Iowa,50112,-92.765,41.7673
1004248,Lake Street near the Wexford County Public Library,Cadillac,Wexford,Michigan,49601,-85.402114,44.250855
1004249,6701 Burnet Road Market,Austin,Austin,Texas,78757,-97.7018,30.4258
1004250,Swimming pool parking lot,Tripoli,Bremer,Iowa,50676,-92.2582,42.8056
1004251,El Cerrito Plaza,El Cerrito,Contra Costa,California,94596,-122.3,37.8997
1004255,700 S. Railroad,Loveland,Larimer,Colorado,80537,-105.078491,40.387536
1004263,10012 Hwy. 78,Elko,Barnwell,South Carolina,29826,-81.379214,33.380738
1004266,2615 Greentech Drive,State College,Centre,Pennsylvania,16803,-77.92403,40.813582
1004267,487 Maury River Road,Lexington,Rockbridge,Virginia,24450,-79.42302,37.806665
1004268,Blaser Park at  Washington Ave (Hwy 52),Emmett,Gem,Idaho,83617,-116.500558,43.876265
1004269,1819 35th St. NW,Washington,District of Columbia,District of Columbia,20007,-77.0683,38.9158
1004270,214 E. Washington St.,Lewisburg,Greenbrier,West Virginia,24901,-80.443128,37.800849
