FMID,city,State,zip,x,y,Credit,WIC,WICcash,SFMNP,SNAP
1019111,Mansfield,Texas,76063,-97.134052,32.564588,Y,N,N,N,N
1010604,Fort Worth,Texas,76107,-97.362428,32.741786,Y,N,N,N,N
1011340,Fort Worth,Texas,76112,-97.2072988,32.7303696,Y,N,N,N,N
1004902,Fort Worth,Texas,76141,-97.3308,32.7332,N,N,N,N,N
1004901,Fort Worth,Texas,76141,-97.3962,32.6769,N,N,N,N,N
1004900,Fort Worth,Texas,76141,-97.4555,32.7235,N,N,N,N,N
1007784,Fort Worth,Texas,76141,-97.0659,32.8372,N,N,N,N,N
1007783,Fort Worth,Texas,76141,-97.4583,32.8208,N,N,N,N,N
1006197,Denton,Texas,76201,-97.1331,33.2235,N,N,N,N,N
1009013,Denton,Texas,76201,-97.136403,33.213199,Y,N,N,N,N
1011003,Collinsville ,Texas,76240,-96.9110998,33.5491175,Y,N,N,N,Y
1019003,Keller ,Texas,76248,-97.243807,32.926757,Y,N,N,N,Y
1011876,Wichita Falls,Texas,76301,-98.489528,33.913521,Y,N,Y,Y,N
1000330,Wichita Falls,Texas,76301,-98.4897756,33.9132018,N,N,Y,Y,N
1007176,Wichita Falls,Texas,76302,-98.4944,33.8677,N,N,N,N,N
1000331,Henrietta,Texas,76365,-98.1963,33.8148,N,N,Y,Y,N
1016787,Vernon ,Texas,76384,-99.284217,34.152885,Y,Y,N,Y,N
1007182,Temple,Texas,76501,-97.342,31.0945,N,N,N,N,N
1007653,Belton,Texas,76513,-97.4619,31.0559,N,N,N,N,N
1007004,Copperas Cove,Texas,76522,-98.185,31.0708,Y,N,N,N,N
1018380,Harker Heights,Texas,76548,-97.681611,31.073245,Y,N,N,N,N
1007181,Taylor,Texas,76574,-97.4098,30.5715,N,N,N,N,N
1012513,Meridian ,Texas,76665,-97.6573069,31.9228027,Y,N,N,N,N
1019155,Waco,Texas,76701,-97.132941,31.55682,Y,N,N,N,Y
